1	15	N-	----ASM-	9474	Ματθάν	ματθαν	ματθαν	Ματθάν			,
1	15	N-	----NSM-	9346	Ματθὰν	ματθαν	ματθαν	Ματθάν			
1	15	C-	--------	4	δὲ	δε	δε	δέ			
1	15	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	15	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	15	N-	----ASM-	9474	Ἰακώβ	ἰακωβ	ιακωβ	Ἰακώβ			,
1	16	N-	----NSM-	9346	Ἰακὼβ	ἰακωβ	ιακωβ	Ἰακώβ			
1	16	C-	--------	4	δὲ	δε	δε	δέ			
1	16	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	16	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	16	N-	----ASM-	9474	Ἰωσὴφ	ἰωσηφ	ιωσηφ	Ἰωσήφ			
1	16	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	16	N-	----ASM-	9474	ἄνδρα	ἀνδρα	ανδρα	ἀνήρ			
1	16	N-	----GSF-	13634	Μαρίας	μαριας	μαριας	Μαρία			,
1	16	P-	--------	7	ἐξ	ἐξ	εξ	ἐκ			
1	16	RR	----GSF-	14	ἧς	ἡς	ης	ὅς			
1	16	V-	3API-S--	2673281	ἐγεννήθη	ἐγεννηθη	εγεννηθη	γεννάω			
1	16	N-	----NSM-	9346	Ἰησοῦς	ἰησους	ιησους	Ἰησοῦς			
1	16	RA	----NSM-	10	ὁ	ὁ	ο	ὁ			
1	16	V-	-PPPNSM-	4801985	λεγόμενος	λεγομενος	λεγομενος	λέγω			
1	16	N-	----NSM-	9346	χριστός	χριστος	χριστος	Χριστός			.
1	17	A-	----NPF-	13955	Πᾶσαι	πασαι	πασαι	πᾶς			
1	17	C-	--------	4	οὖν	οὐν	ουν	οὖν			
1	17	RA	----NPF-	10	αἱ	αἱ	αι	ὁ			
1	17	N-	----NPF-	13954	γενεαὶ	γενεαι	γενεαι	γενεά			
1	17	P-	--------	7	ἀπὸ	ἀπο	απο	ἀπό			
